created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2021-11-18T16:00:22+00:00,1,3668.9406419610154,4542.124003629661,35,25.0,52.4,,,,
2021-11-18T16:01:23+00:00,2,3572.330080076858,4533.431590773357,35,25.0,52.4,,,,
2021-11-18T16:02:25+00:00,3,3572.330080076858,4524.801780363744,35,25.0,52.4,,,,
2021-11-18T16:03:26+00:00,4,3554.6451946041034,4516.221462815314,35,25.1,50.2,,,,
2021-11-18T16:04:27+00:00,5,3572.330080076858,4507.681045921173,35,25.1,53.1,,,,
2021-11-18T16:05:29+00:00,6,3572.330080076858,4499.16190416525,35,25.1,53.1,,,,
2021-11-18T16:06:30+00:00,7,3572.330080076858,4490.65622489722,35,25.1,49.3,,,,
2021-11-18T16:07:31+00:00,8,3572.330080076858,4436.262392429004,35,25.1,49.3,,,,
2021-11-18T16:08:33+00:00,9,3525.9708564925095,4426.001834140294,35,25.2,49.6,,,,
2021-11-18T16:09:34+00:00,10,3572.330080076858,4415.719011478242,35,25.1,49.3,,,,
2021-11-18T16:10:35+00:00,11,3543.8246193781033,4405.411584847196,35,25.1,49.3,,,,
2021-11-18T16:11:37+00:00,12,3561.5373694386603,4395.087041719963,35,25.1,49.3,,,,
2021-11-18T16:12:38+00:00,13,3543.8246193781033,4384.741588045588,35,25.0,51.4,,,,
2021-11-18T16:13:39+00:00,14,3525.9708564925095,4374.378419615275,35,25.1,49.6,,,,
2021-11-18T16:14:41+00:00,15,3504.744945422067,4363.998144851102,35,25.1,51.5,,,,
2021-11-18T16:15:42+00:00,16,3543.8246193781033,4353.586484288676,35,25.1,49.3,,,,
2021-11-18T16:16:44+00:00,17,3543.8246193781033,4343.161157933683,35,25.1,51.4,,,,
2021-11-18T16:17:45+00:00,18,3543.8246193781033,4332.718977241485,35,25.1,51.4,,,,
2021-11-18T16:18:46+00:00,19,3543.8246193781033,4322.256006103017,35,25.0,51.7,,,,
2021-11-18T16:19:48+00:00,20,3504.744945422067,4311.773514975641,35,25.0,51.7,,,,
2021-11-18T16:20:49+00:00,21,3646.42121569331,4301.267017767539,35,25.0,51.0,,,,
2021-11-18T16:21:50+00:00,22,3439.730181082063,4290.743883187436,34,25.0,49.0,,,,
2021-11-18T16:22:52+00:00,23,3624.541688277442,4280.201885308182,34,25.0,48.9,,,,
2021-11-18T16:23:53+00:00,24,3624.541688277442,4269.640326582356,34,25.0,51.4,,,,
2021-11-18T16:24:54+00:00,25,3624.541688277442,4259.064893244384,34,25.0,51.4,,,,
2021-11-18T16:25:56+00:00,26,3607.277649634339,4248.463811097677,34,25.0,49.2,,,,
2021-11-18T16:26:57+00:00,27,3607.277649634339,4237.846153195228,34,25.0,51.6,,,,
2021-11-18T16:27:58+00:00,28,3624.541688277442,4227.200540809934,34,25.0,51.3,,,,
2021-11-18T16:29:00+00:00,29,3663.4834690450552,4216.541632803593,35,25.0,51.1,,,,
