TIME,Angry,Happy,Neutral,Sad,Surprise
2021-12-18 16:52:35.386497+00:00,0.07054659,0.009615681,0.7354401,0.17789796,0.00649985
2021-12-18 16:52:36.847121+00:00,0.07225084,0.010445805,0.72829235,0.18258177,0.0064292187
2021-12-18 16:52:38.317355+00:00,0.07315041,0.009722805,0.7277515,0.18250792,0.006867324
2021-12-18 16:52:39.647387+00:00,0.06607477,0.012740004,0.74463964,0.17041293,0.0061327377
2021-12-18 16:52:40.855842+00:00,0.07580018,0.123074025,0.5918116,0.18723424,0.022079797
2021-12-18 16:52:42.286145+00:00,0.04951425,0.010817129,0.8033072,0.13021477,0.006146633
2021-12-18 16:52:43.615034+00:00,0.06375256,0.013038043,0.7512328,0.16379042,0.008186227
2021-12-18 16:52:44.983127+00:00,0.07645518,0.015433353,0.70628715,0.18608715,0.015737286
2021-12-18 16:52:46.432289+00:00,0.07380232,0.0091758985,0.72542477,0.1717249,0.019872066
2021-12-18 16:52:47.431591+00:00,0.08274936,0.011373577,0.6932875,0.19646437,0.016125234
2021-12-18 16:52:48.781494+00:00,0.07090209,0.00837053,0.7384457,0.16923955,0.013042079
2021-12-18 16:52:50.086586+00:00,0.07618668,0.012147579,0.71243346,0.18167494,0.017557211
2021-12-18 16:52:51.095480+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:52:52.088250+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:52:53.096220+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:52:54.087920+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:52:55.096809+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:52:56.087869+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:52:57.095325+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:52:58.088097+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:52:59.096616+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:00.091777+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:01.096833+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:02.087117+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:03.096219+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:04.088011+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:05.096346+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:06.087988+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:07.096087+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:08.088031+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:09.096078+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:10.088040+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:11.095596+00:00,0.08699345,0.017030424,0.66767573,0.20709166,0.021208765
2021-12-18 16:53:12.263863+00:00,0.075838454,0.030611107,0.68659294,0.19147569,0.015481734
2021-12-18 16:53:13.255927+00:00,0.05734086,0.06555942,0.70567775,0.16005401,0.011367799
2021-12-18 16:53:14.322879+00:00,0.0776685,0.077776946,0.61488366,0.19242102,0.03724977
2021-12-18 16:53:15.463122+00:00,0.085100144,0.0499413,0.5446869,0.17841454,0.14185718
2021-12-18 16:53:16.667295+00:00,0.07592447,0.025199274,0.61436373,0.1578727,0.12663983
2021-12-18 16:53:18.130189+00:00,0.059720967,0.025245868,0.6913812,0.13161823,0.092033744
2021-12-18 16:53:19.574527+00:00,0.057058826,0.061590277,0.68663865,0.14366509,0.051047124
2021-12-18 16:53:21.118563+00:00,0.055534627,0.08873622,0.64234185,0.12833406,0.08505305
2021-12-18 16:53:22.552241+00:00,0.08774998,0.06932363,0.5129425,0.17346898,0.15651497
2021-12-18 16:53:24.028373+00:00,0.077928655,0.023910102,0.6747511,0.18286575,0.040544398
2021-12-18 16:53:25.223092+00:00,0.079180434,0.030092381,0.5151079,0.15716739,0.21845168
2021-12-18 16:53:26.645920+00:00,0.05905617,0.02272312,0.7317114,0.13669418,0.049815178
2021-12-18 16:53:28.092074+00:00,0.058855817,0.017057452,0.75524575,0.13852735,0.03031358
2021-12-18 16:53:29.524076+00:00,0.062671185,0.011213835,0.7519343,0.14408143,0.030099222
2021-12-18 16:53:30.991386+00:00,0.07319016,0.010672685,0.72217625,0.16846295,0.02549792
2021-12-18 16:53:32.428970+00:00,0.072703525,0.020781793,0.68828595,0.16313127,0.05509751
2021-12-18 16:53:33.762780+00:00,0.07509653,0.012951264,0.7021215,0.16736147,0.042469192
2021-12-18 16:53:35.014852+00:00,0.083827764,0.016689517,0.6636333,0.1825304,0.053319044
2021-12-18 16:53:36.190938+00:00,0.083086304,0.015001715,0.6678843,0.18115406,0.052873608
2021-12-18 16:53:37.556840+00:00,0.08586646,0.014739154,0.6608426,0.18564509,0.052906703
2021-12-18 16:53:38.878101+00:00,0.0846211,0.012458906,0.68154454,0.18952373,0.031851668
2021-12-18 16:53:40.118877+00:00,0.087620474,0.011165936,0.6767978,0.19551198,0.028903717
2021-12-18 16:53:41.259078+00:00,0.08649019,0.011174594,0.6797236,0.2013893,0.021222508
2021-12-18 16:53:42.653146+00:00,0.06535818,0.008556803,0.7499278,0.14881001,0.027347194
2021-12-18 16:53:44.194348+00:00,0.06534171,0.00927742,0.7508368,0.16013445,0.014409552
2021-12-18 16:53:45.667894+00:00,0.06559392,0.009339689,0.74854296,0.16576399,0.010759408
2021-12-18 16:53:47.179648+00:00,0.074487604,0.010471631,0.7167471,0.18512474,0.013168903
2021-12-18 16:53:48.668104+00:00,0.06312781,0.0074834963,0.7613985,0.14875104,0.019239185
2021-12-18 16:53:50.170334+00:00,0.08176707,0.009914794,0.69433814,0.18783134,0.02614856
