created_at,entry_id,field1,latitude,longitude,elevation,status
2021-11-22T09:39:30+00:00,130,1,,,,
2021-11-22T10:02:00+00:00,131,0,,,,
2021-11-22T10:06:30+00:00,132,1,,,,
2021-11-22T10:25:00+00:00,133,2,,,,
2021-11-22T10:48:30+00:00,134,1,,,,
2021-11-22T12:03:30+00:00,135,2,,,,
2021-11-22T12:33:30+00:00,136,1,,,,
2021-11-22T12:41:00+00:00,137,2,,,,
2021-11-22T12:52:30+00:00,138,1,,,,
2021-11-22T13:19:30+00:00,139,0,,,,
2021-11-22T13:32:30+00:00,140,3,,,,
2021-11-25T05:00:00+00:00,141,3,,,,
2021-11-25T05:05:30+00:00,142,1,,,,
2021-11-25T05:15:30+00:00,143,0,,,,
2021-11-25T05:53:00+00:00,144,1,,,,
2021-11-25T06:03:30+00:00,145,2,,,,
2021-11-25T06:20:30+00:00,146,1,,,,
2021-11-25T06:32:00+00:00,147,0,,,,
2021-11-25T06:37:30+00:00,148,1,,,,
2021-11-25T07:21:00+00:00,149,2,,,,
2021-11-25T07:47:00+00:00,150,1,,,,
2021-11-25T09:07:30+00:00,151,0,,,,
2021-11-25T09:17:00+00:00,152,1,,,,
2021-11-25T09:23:30+00:00,153,2,,,,
2021-11-25T09:55:30+00:00,154,1,,,,
2021-11-25T10:33:30+00:00,155,3,,,,
2021-11-25T10:44:00+00:00,156,3,,,,
2021-11-26T03:52:30+00:00,157,3,,,,
2021-11-26T04:13:00+00:00,158,1,,,,
2021-11-26T04:27:00+00:00,159,0,,,,
2021-11-26T04:50:00+00:00,160,1,,,,
2021-11-26T05:00:30+00:00,161,2,,,,
2021-11-26T05:06:00+00:00,162,1,,,,
2021-11-26T05:15:00+00:00,163,3,,,,
2021-11-26T05:23:30+00:00,164,1,,,,
2021-11-26T05:46:30+00:00,165,0,,,,
2021-11-26T06:15:00+00:00,166,1,,,,
2021-11-26T06:30:30+00:00,167,2,,,,
2021-11-26T06:58:30+00:00,168,1,,,,
2021-11-26T07:22:00+00:00,169,0,,,,
2021-11-26T07:27:00+00:00,170,1,,,,
2021-11-26T07:41:30+00:00,171,2,,,,
2021-11-26T07:49:00+00:00,172,1,,,,
2021-11-26T08:02:00+00:00,173,2,,,,
2021-11-26T08:18:00+00:00,174,1,,,,
2021-11-26T08:28:30+00:00,175,2,,,,
2021-11-26T08:47:30+00:00,176,1,,,,
2021-11-26T09:31:00+00:00,177,3,,,,
2021-11-26T09:36:30+00:00,178,3,,,,
